ID,Country,Total Confirmed,Total Deaths,Total Recovered,Population,Continent
1,USA,109724580,1184575,107596864,334805269,North America
2,Canada,4831665,55517,4736846,38388419,North America
3,Mexico,7649199,334472,6899865,131562772,North America
4,Argentina,10080046,130685,9949361,46010234,South America
5,Brazil,38106633,708021,36249161,215353593,South America
6,Egypt,516023,24613,442182,106156692,Africa
7,France,40138560,167642,39970918,65584518,Europe
8,Germany,38688634,178859,38240600,83883596,Europe
9,Italy,26475343,193742,26068983,60262770,Europe
10,UK,24812582,232112,24579473,68497907,Europe
11,India,45002561,533305,10171313,1406631776,Asia
12,China,503302,5272,379053,1448471400,Asia
13,South Korea,34571873,35934,34535939,51329899,Asia
14,Japan,33803572,74694,10970074,125584838,Asia
15,Russia,23430629,400716,22767937,145805947,Asia
16,Turkey,17232066,102174,16505139,85561976,Asia
17,Spain,13914811,121760,13762417,46719142,Europe
18,Australia,11714922,23671,10490272,26068792,Oceania
19,Peru,4524326,222161,4302165,33684208,South America
24,South Africa,4076463,102595,3912506,60756135,Africa
25,Morocco,1277862,16297,985267,37772756,Africa
26,Tunisia,1153361,29423,286455,12046656,Africa
27,Libya,507274,6437,500835,7040745,Africa
28,New Zealand,2519095,5143,2508875,4898203,Oceania
32,Saudi Arabia,841469,9646,23475,35844909,Asia
